chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	0	81000	400	56699584	0	81000	400	56699584	0	81000	400	56699584	3	80997	397	56699587	8	80992	392	56699592	3	80997	397	56699587	10	80990	390	56699594	8	80992	392	56699592	-2.28517841679033	24.6635845236451	-24.6635845236451	6.82618809699775e-07	0.000255982053637416
chr15	96999000	97040000	+	SIMULA40K+	15	32632	1	40999	399	56739585	1	40999	399	56739585	1	40999	399	56739585	0	41000	400	56739584	4	40996	396	56739588	8	40992	392	56739592	9	40991	391	56739593	4	40996	396	56739588	-2.1342693878808	19.9023177332128	-19.9023177332128	8.15014577570938e-06	0.00127690665903402
chr15	22300000	22321000	-	SIMULA20K-	15	31105	0	21000	400	56759584	0	21000	400	56759584	0	21000	400	56759584	0	21000	400	56759584	6	20994	394	56759590	2	20998	398	56759586	1	20999	399	56759585	5	20995	395	56759589	-12.9549268707525	19.4707406999951	-19.4707406999951	1.02152532722721e-05	0.00127690665903402
chr15	37500000	37511000	-	SIMULA10K-	15	31407	0	11000	400	56769584	0	11000	400	56769584	0	11000	400	56769584	0	11000	400	56769584	2	10998	398	56769586	2	10998	398	56769586	0	11000	400	56769584	2	10998	398	56769586	-12.1026230925874	8.32937971147476	-8.32937971147476	0.00390089752290301	0.351350930969043
chr15	72199028	72232190	-	PKM	15	32102	3	33159	397	56747425	1	33161	399	56747423	1	33161	399	56747423	0	33162	400	56747422	0	33162	400	56747422	0	33162	400	56747422	0	33162	400	56747422	0	33162	400	56747422	11.9194972678882	6.93932397894969	6.93932397894969	0.00843209751524599	0.351350930969043
chr15	26394036	26455217	+	LINC02248	15	31243	0	61181	400	56719403	0	61181	400	56719403	0	61181	400	56719403	0	61181	400	56719403	2	61179	398	56719405	1	61180	399	56719404	1	61180	399	56719404	1	61180	399	56719404	-11.9194621790408	6.93928091709677	-6.93928091709677	0.00843230051452249	0.351350930969043
chr15	26403479	26478840	-	AC009878.2	15	31244	0	75361	400	56705223	0	75361	400	56705223	0	75361	400	56705223	0	75361	400	56705223	2	75359	398	56705225	1	75360	399	56705224	1	75360	399	56705224	1	75360	399	56705224	-11.9194543643184	6.93927110353252	-6.93927110353252	0.00843234677766336	0.351350930969043
chr15	57590903	57685364	+	MYZAP	15	31834	0	94461	400	56686123	3	94458	397	56686126	1	94460	399	56686124	1	94460	399	56686124	0	94461	400	56686123	0	94461	400	56686123	0	94461	400	56686123	0	94461	400	56686123	11.919447546676	6.93926292330434	6.93926292330434	0.00843238534112389	0.351350930969043
chr15	57590907	57714745	+	GCOM1	15	31835	0	123838	400	56656746	3	123835	397	56656749	1	123837	399	56656747	1	123837	399	56656747	0	123838	400	56656746	0	123838	400	56656746	0	123838	400	56656746	0	123838	400	56656746	11.9194411654756	6.93925507430686	6.93925507430686	0.00843242234325703	0.351350930969043
chr15	56917622	57288514	+	TCF12	15	31825	3	370889	397	56409695	6	370886	394	56409698	3	370889	397	56409695	6	370886	394	56409698	2	370890	398	56409694	1	370891	399	56409693	3	370889	397	56409695	0	370892	400	56409692	1.10617714154414	6.32436685738503	6.32436685738503	0.0119089998621915	0.382260322152125
chr15	100000000	100006000	-	SIMULA05K-	15	32683	0	6000	400	56774584	0	6000	400	56774584	0	6000	400	56774584	0	6000	400	56774584	2	5998	398	56774586	1	5999	399	56774585	1	5999	399	56774585	0	6000	400	56774584	-11.6960321523425	5.55045025388245	-5.55045025388245	0.0184759336507661	0.382260322152125
