testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	timePointInMonths	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
31787	chr15	54899000	54980000	+	SIMULA80K+	15	-8.07702029612623	0.00649381695901052	-0.0134668334495757	0.343089645359041	-0.3743683372322	102.609563614848	-102.609563614848	0	0
32632	chr15	96999000	97040000	+	SIMULA40K+	15	-8.07520432591517	0.00777220756700459	-0.0188011846417106	0.343905441847565	-0.33617066421899	45.7772912464707	-45.7772912464707	1.32490685089692e-11	5.22013299253388e-09
31105	chr15	22300000	22321000	-	SIMULA20K-	15	-8.07434896861689	0.00850506613609969	-0.0214181704218193	0.30180712434327	-0.341046517794264	38.516588649145	-38.516588649145	5.4290261175538e-10	1.42602419354413e-07
31407	chr15	37500000	37511000	-	SIMULA10K-	15	-8.07258384462018	0.00957034267855361	-0.0260619183188234	0.326715298637834	-0.289839889031667	5.44244494491068	-5.44244494491068	0.019653140838921	1
32265	chr15	78167467	78235565	-	ACSBG1	15	-8.07227409785737	0.009881294893471	-0.0272764407687024	-0.0617234212645792	1.24463788634863	3.99342743136913	3.99342743136913	0.0456780585300872	1
32449	chr15	87325828	87704825	-	AC020687.1	15	-8.07076000772805	0.00930645539537922	-0.0297175652694693	-0.000820432662893819	0.0304749128519258	3.19228591657156	3.19228591657156	0.0739864856940259	1
32246	chr15	77419673	77485603	+	HMG20A	15	-8.07202052578497	0.00978834601303502	-0.0274691043150562	-0.0113955630080097	0.163964285366587	3.13476389166408	3.13476389166408	0.0766394830502049	1
31990	chr15	65578759	65612289	-	INTS14	15	-8.07235556879916	0.00982841580709337	-0.0269995963873085	0.373193424945794	-0.308527247386395	2.81394885587361	-2.81394885587361	0.0934480919482987	1
31382	chr15	34977350	34980084	+	AC114546.3	15	-8.07210118301087	0.00983720073520633	-0.0274175492773646	-0.0436803850005288	0.165292485508895	2.14335616044627	2.14335616044627	0.143188334511809	1
31946	chr15	64341538	64342698	+	AC087632.1	15	-8.07234223762267	0.00985509169365972	-0.0270493954660466	0.572938637793398	-0.493227775997119	2.06915691311133	-2.06915691311133	0.150304590121835	1
31471	chr15	40528569	40529673	+	RNU6-516P	15	-8.07202427515749	0.00981828786155337	-0.0274894298896007	-0.0423156664289489	0.126570567422147	1.98691877822512	1.98691877822512	0.158663421379938	1
32403	chr15	84499377	84502381	+	AC048382.4	15	-8.07233609471117	0.00986923993483924	-0.0270424535733396	0.867779784733119	-0.923629945137936	1.83565250381253	-1.83565250381253	0.175461356343476	1
31883	chr15	60488283	61230302	-	RORA	15	-8.07189666651591	0.00979824711642019	-0.0277765717110267	-0.0205732527431924	0.0656077294677176	1.7956385669695	1.7956385669695	0.180240666449988	1
32336	chr15	81059952	81063488	+	AC068870.3	15	-8.07223243579299	0.00986251951703654	-0.0272265355279021	-0.120646106041386	1.01555548780203	1.66876172141383	1.66876172141383	0.196424473775539	1
32692	chr15	100566923	100603184	-	LINS1	15	-8.07208705961882	0.00983343940648096	-0.0273605335375299	-0.0462576993539088	0.140582615156177	1.4631385113471	1.4631385113471	0.226431410256782	1
31814	chr15	56428723	56466137	-	MNS1	15	-8.07203377237376	0.00984012679041513	-0.0275574994109644	-0.034587597971809	0.0805935627262209	1.45065327424345	1.45065327424345	0.228423158061601	1
32269	chr15	78283234	78300605	-	WDR61	15	-8.07200153490386	0.0098122976509889	-0.0275311916082339	-0.0268979479343671	0.0851923185371446	1.40148941172265	1.40148941172265	0.236474353714516	1
31469	chr15	40487040	40558019	+	AC091045.2	15	-8.07202048525404	0.00985486254218504	-0.0275354378505267	-0.0437342712496944	0.083873763297038	1.39867639280055	1.39867639280055	0.236945311353606	1
31906	chr15	62230383	62232895	-	AC126323.3	15	-8.07217411500385	0.00985086224622567	-0.027271864613633	-0.0629318117437592	0.233476634532952	1.29939423823271	1.29939423823271	0.254323902599912	1
32095	chr15	71817413	71822455	+	AC104938.1	15	-8.07209315630056	0.00982847418753474	-0.0273015474038429	-0.0815972563875364	0.196112254425881	1.29572647150053	1.29572647150053	0.25499531073799	1
31361	chr15	34140673	34211096	-	KATNBL1	15	-8.07234240178446	0.00980856121472451	-0.026803867775632	0.0592458424480801	-0.0892725440932994	1.29053256349016	-1.29053256349016	0.255949829192924	1
32180	chr15	74843729	74874365	-	SCAMP2	15	-8.07211722073074	0.00979219860721825	-0.0272944669419745	0.027750113206622	0.125799074817025	1.26928935279284	1.26928935279284	0.259900039164286	1
32223	chr15	75842306	75901044	+	UBE2Q2	15	-8.07230725209677	0.0098441960734732	-0.0269597868410421	0.0900132168193492	-0.148873143549964	1.14510951602551	-1.14510951602551	0.284575244191839	1
31964	chr15	64910901	64958691	+	ANKDD1A	15	-8.07195904651323	0.00980702754733498	-0.0275937651606603	-0.0239786296637313	0.0606296866113015	1.09448176924889	1.09448176924889	0.295480322771031	1
31790	chr15	55180805	55197941	-	RSL24D1	15	-8.07211827950418	0.00983358108698917	-0.027273049790271	-0.0755443871285013	0.188987005587498	1.08734858856133	1.08734858856133	0.29705942341222	1
31962	chr15	64840947	64930920	+	AC069368.1	15	-8.07205616637066	0.00984880123656984	-0.0274429319179434	-0.0393944910082255	0.0722097376612823	0.910498048665431	0.910498048665431	0.339982306288584	1
31617	chr15	45022146	45036363	+	SORD	15	-8.07210404476606	0.00983527387134098	-0.0273002577319335	-0.0756691307934663	0.138838789629218	0.884958369830201	0.884958369830201	0.346847208701464	1
31113	chr15	22999176	23040569	-	TUBGCP5	15	-8.07199707067107	0.00986395231396608	-0.0274552025527202	-0.0571233135072353	0.0700717464849918	0.87449680773625	0.87449680773625	0.349713402937542	1
31538	chr15	42347102	42412317	+	AC012651.1	15	-8.07205474858236	0.00985570074093012	-0.0274340495026876	-0.0372563895064081	0.0680635187617216	0.87091235679145	0.87091235679145	0.350702853516481	1
32061	chr15	69390191	69392149	+	AC027237.6	15	-8.07211690176331	0.00982167946318668	-0.0272520271707095	-0.0769353881098983	0.217401681261465	0.864829666470541	0.864829666470541	0.352390663708702	1
