chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr15	54899000	54980000	+	SIMULA80K+	15	31787	0	81000	400	56699584	1	80999	399	56699585	0	81000	400	56699584	0	81000	400	56699584	17	80983	383	56699601	10	80990	390	56699594	10	80990	390	56699594	13	80987	387	56699597	-3.94329797086487	61.6233042341337	-61.6233042341337	4.10782519111308e-15	1.49114054437405e-12
chr15	96999000	97040000	+	SIMULA40K+	15	32632	0	41000	400	56739584	0	41000	399	56739585	0	41000	400	56739584	0	41000	400	56739584	4	40996	379	56739605	5	40995	385	56739599	6	40994	384	56739600	6	40994	381	56739603	-13.396299616253	29.9175965262257	-29.9175965262257	4.50802981610821e-08	1.63190679343117e-05
chr15	22300000	22321000	-	SIMULA20K-	15	31105	0	21000	400	56759584	0	21000	399	56759585	0	21000	400	56759584	0	21000	400	56759584	3	20997	376	56759608	2	20998	383	56759601	0	21000	384	56759600	3	20997	378	56759606	-12.4364618413124	11.4742477161926	-11.4742477161926	0.000705672061872553	0.254747614335992
chr15	77100655	77421144	-	PEAK1	15	32245	0	320489	400	56460095	0	320489	399	56460096	2	320487	398	56460097	2	320487	398	56460097	5	320484	374	56460121	5	320484	380	56460115	4	320485	380	56460115	3	320486	378	56460117	-1.50036994975598	9.31280643168429	-9.31280643168429	0.00227557653963184	0.404205681286981
chr15	90716345	90816166	+	BLM	15	32535	0	99821	400	56680763	0	99821	399	56680764	0	99821	400	56680763	0	99821	400	56680763	1	99820	378	56680785	0	99821	385	56680778	3	99818	381	56680782	2	99819	379	56680784	-12.1473369436495	8.60139830769913	-8.60139830769913	0.0033590499829943	0.404205681286981
chr15	26970180	27541984	+	GABRG3	15	31249	0	571804	400	56208780	3	571801	396	56208784	2	571802	398	56208782	3	571801	397	56208783	9	571795	370	56208810	5	571799	380	56208800	3	571801	381	56208799	5	571799	376	56208804	-1.06584923600304	7.50521901996399	-7.50521901996399	0.00615204587431173	0.424926405872351
chr15	23756114	23856375	+	AC087490.1	15	31126	8	100253	392	56680331	4	100257	395	56680328	2	100259	398	56680325	4	100257	396	56680327	2	100259	377	56680346	0	100261	385	56680338	1	100260	383	56680340	2	100259	379	56680344	1.24424690942336	7.27981444926991	7.27981444926991	0.0069733738758917	0.424926405872351
chr15	38251835	38357249	+	SPRED1	15	31412	0	105414	400	56675170	0	105414	399	56675171	0	105414	400	56675170	0	105414	400	56675170	1	105413	378	56675192	1	105413	384	56675186	1	105413	383	56675187	2	105412	379	56675191	-11.9643551440132	7.16613524689456	-7.16613524689456	0.0074292658874402	0.424926405872351
chr15	65610404	65660995	+	SLC24A1	15	31991	2	50589	398	56729995	2	50589	397	56729996	0	50591	400	56729993	1	50590	399	56729994	0	50591	379	56730014	0	50591	385	56730008	0	50591	384	56730009	0	50591	381	56730012	11.8747080185214	6.71780186757678	6.71780186757678	0.00954552044840662	0.424926405872351
chr15	60478151	60544452	+	RORA-AS1	15	31882	3	66298	397	56714286	1	66300	398	56714285	1	66300	399	56714284	0	66301	400	56714283	0	66301	379	56714304	0	66301	385	56714298	0	66301	384	56714299	0	66301	381	56714302	11.8746961163021	6.7177872354514	6.7177872354514	0.00954559876496042	0.424926405872351
