testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeHSPC	typeMacr	typeNeut	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue
5903	chr12	56153700	56153701	-	(MYL6B|12|56153700-)	12	-8.73013702680627	1.97724078645065	1.13928240957568	1.00835658411726	0.835175496151243	0.18442938375429	0.235749279274555	1.81012157525516	135261.090040975	135261.090040975	0	0
2086	chr4	36226074	36226075	-	[ARAP2,DUS4L-BCAP29|4|36226074-]	4	-8.74519349679562	1.97577510806198	1.14659984214125	1.01399514229874	0.837098370911839	0.166029226193962	0.263480176906456	1.55887670040454	61784.7622136425	61784.7622136425	0	0
10131	chr22	46068807	46068808	+	PRR34-AS1]22|46068807+[MIRLET7BHG	22	-8.75208337392491	2.07686663778683	1.1411044714947	1.01946899168147	0.839615359494387	0.157823480949908	0.27608020533677	1.34495774643171	28850.6887051852	28850.6887051852	0	0
8229	chr17	67080920	67080921	+	(HELZ|17|67080920+)	17	-8.75446925289414	2.10180479587032	1.14583414591376	1.02244972289166	0.83336750849996	0.152834793555866	0.282226682993512	1.18285310978275	15246.864770774	15246.864770774	0	0
7982	chr17	42360721	42360722	+	(STAT3|17|42360721+)	17	-8.75576202672261	2.10415226940473	1.14418396965235	1.02232179376429	0.840784790341683	0.153565727280341	0.282481198662546	1.1745734819681	14686.9494575723	14686.9494575723	0	0
215	chr1	27456449	27456450	+	(WASF2|1|27456449+)	1	-8.75614131209058	2.10506408782605	1.14607136581958	1.02186678070551	0.840592529592004	0.153015410652146	0.283141439918457	1.15892473322506	13602.5763052448	13602.5763052448	0	0
5737	chr12	47823161	47823162	+	HDAC7)12|47823161+[LINC02354	12	-8.75639427142809	2.12030420469079	1.14449715705412	1.02370944651587	0.841760936113133	0.152124461796136	0.284059611701441	1.09313213913531	10984.0237565471	10984.0237565471	0	0
2939	chr6	32348678	32348679	+	(TSBP1[TSBP1-AS1|6|32348678+])	6	-8.75599450259566	2.12554435670904	1.14469687663903	1.02539441982202	0.843209128124941	0.151714434883396	0.283964816768685	1.03073053418029	10095.1578365527	10095.1578365527	0	0
2726	chr6	29970217	29970218	-	HLA-A)6|29970217-(HCG9	6	-8.7567863706264	2.1179601917169	1.14497242777292	1.02330221351115	0.840916382913325	0.151469444120808	0.285173826962637	1.06644635795232	9084.15545892925	9084.15545892925	0	0
3827	chr8	42916469	42916470	+	[HOOK3|8|42916469+]	8	-8.75722071931176	2.12614629248019	1.14457966166675	1.02431319007201	0.841793700476658	0.151291002498415	0.285401131607048	1.03275208501163	8495.47368298075	8495.47368298075	0	0
143	chr1	23557538	23557539	-	E2F2]1|23557538-[ID3	1	-8.75605930096415	2.17084099990972	1.14391562397958	1.02131869066497	0.842358041729345	0.149221584229996	0.285836201045129	1.09552249070596	7968.91464398988	7968.91464398988	0	0
5628	chr12	9833471	9833472	+	[KLRF1|12|9833471+]	12	-8.75773712902992	2.13681214422498	1.14636777462594	1.02413550445268	0.841391032406452	0.15118847368988	0.286082781016154	1.02144205855394	7294.45879994449	7294.45879994449	0	0
10014	chr22	36254617	36254618	+	[APOL1|22|36254617+]	22	-8.75713421857903	2.17029547205889	1.14622853747438	1.02295102071944	0.840216634851728	0.149973517176637	0.286218767084456	1.04436855673133	7109.76476017735	7109.76476017735	0	0
10013	chr22	36254616	36254617	+	[APOL1|22|36254616+]	22	-8.75715856863483	2.17022216876289	1.14621651694253	1.02247896661818	0.840230015996569	0.149955904508997	0.286254332409229	1.0424606090234	7081.30882992968	7081.30882992968	0	0
151	chr1	24445896	24445897	-	(NIPAL3|1|24445896-)	1	-8.75781538603477	2.14128670422071	1.14560521752727	1.02498510734601	0.841783703593713	0.15113984037736	0.286389173934897	0.99679822462584	6404.83320643799	6404.83320643799	0	0
4324	chr9	133087586	133087587	+	CEL]9|133087586+(RALGDS	9	-8.75743389239579	2.14090756221676	1.14491306318067	1.02367717471062	0.840908495004597	0.150304995375386	0.286599025208421	0.996252857927635	6332.06367540732	6332.06367540732	0	0
956	chr1	226035442	226035443	+	SDE2)1|226035442+[H3-3A	1	-8.75797579293407	2.13906523276746	1.14520255527369	1.02447239577497	0.841687518570778	0.150990629828447	0.286586935661868	0.983437641637331	6202.20512521383	6202.20512521383	0	0
4698	chr11	9296589	9296590	-	[TMEM41B|11|9296589-]	11	-8.75795156007639	2.12960676683138	1.14318848627591	1.0247954710285	0.842140166006178	0.150977988735917	0.286676045278397	0.962378892208062	5971.8467103166	5971.8467103166	0	0
4708	chr11	9697513	9697514	-	(SWAP70|11|9697513-)	11	-8.76248322364969	2.1588610769979	1.14160890139882	1.02480911544477	0.842284160407898	0.14440117815267	0.292665555601009	3.30377563928766	5911.22461183276	5911.22461183276	0	0
10252	chrX	49152896	49152897	+	[RN7SL262P|X|49152896+]	23	-8.75774328182301	2.1400184536405	1.14561659790684	1.02397440251709	0.840985498203023	0.149816909687223	0.287162767798814	0.959715034573358	5445.47731748433	5445.47731748433	0	0
1280	chr2	112303381	112303382	+	[ZC3H6|2|112303381+]	2	-8.75797955521118	2.13319280029623	1.14568615593485	1.02445583992409	0.841571663932004	0.150203616190744	0.287197272031817	0.948202982185467	5286.95315557532	5286.95315557532	0	0
5802	chr12	50812875	50812876	+	[ATF1|12|50812875+]	12	-8.75753902858873	2.14525767553812	1.14450357326325	1.02460321088366	0.839063039728632	0.15034675760781	0.286957529202058	0.93775917815296	5242.35207143519	5242.35207143519	0	0
6020	chr12	71680440	71680441	+	[THAP2|12|71680440+]	12	-8.75718287647995	2.16901371532053	1.14488450567351	1.02333882223677	0.845838862376516	0.148075547965495	0.287444642829127	0.982321186272028	4981.04864393082	4981.04864393082	0	0
9643	chr20	25688841	25688842	-	(ZNF337-AS1[ZNF337|20|25688841-])	20	-8.75858828159567	2.16600330073117	1.14446448467485	1.02867298234497	0.845002493765678	0.146794118530335	0.289057314196237	1.33468998723739	4908.14291530638	4908.14291530638	0	0
4074	chr9	37139324	37139325	+	[ZCCHC7|9|37139324+]	9	-8.75801473835599	2.14200978554883	1.14488660402603	1.02491424310702	0.841469834384577	0.149940888312365	0.287483627557388	0.930761636053738	4669.41008354235	4669.41008354235	0	0
1123	chr2	43147841	43147842	+	LINC02580)2|43147841+(ZFP36L2	2	-8.75848486443804	2.13699142248493	1.14545990801941	1.02510586692526	0.841947809985414	0.150364450031295	0.287552840043892	0.911604084245849	4559.26316018542	4559.26316018542	0	0
5954	chr12	57417839	57417840	+	(R3HDM2|12|57417839+)	12	-8.75861301856923	2.13588290150943	1.14591622806884	1.02508428736976	0.842105393949343	0.15002311970222	0.287848242053675	0.88947784433601	4167.36697584274	4167.36697584274	0	0
9825	chr21	41990343	41990344	-	[ZBTB21|21|41990343-]	21	-8.75868180577161	2.14798118418475	1.14418838140997	1.02546301207088	0.842529521161689	0.149647652956935	0.288078722658986	0.840936837349831	3580.28003305686	3580.28003305686	0	0
7329	chr16	57030019	57030020	+	[NLRC5|16|57030019+]	16	-8.75849146188391	2.14519450838253	1.14440586679661	1.02546316167391	0.841723155565119	0.149460179334346	0.288203366802505	0.865556077226726	3533.99397137621	3533.99397137621	0	0
5450	chr11	121568667	121568668	+	[SORL1|11|121568667+]	11	-8.75796776486318	2.16449086722547	1.14457551947867	1.02374263543032	0.842660745258485	0.148446132502758	0.288349584758183	0.909393071119309	3452.72275081882	3452.72275081882	0	0
4048	chr9	31381317	31381318	-	[LINC01243|9|31381317-]	9	-8.75836019500241	2.14482571354848	1.14413156722738	1.0267627673624	0.843213461915181	0.149758579427478	0.287857467788155	0.796680556959574	3391.19374996005	3391.19374996005	0	0
