testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeG	typeMono	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
53443	chr12	7096390	7110238	-	C1RL	12	-8.53062434028706	0.269002741470612	0.911099885406666	1.199797266774	0.688252166054433	0.0226380048765957	0.111861477599472	1535.65457687344	1535.65457687344	0	0	TRUE	0.0969562354097342	499.518189486327	499.518189486327	0	0
67544	chr16	15865718	15889603	-	FOPNL	16	-8.54026652577815	0.270652177941458	0.915720948621026	1.20677171716529	0.690387107950257	0.0235030739218501	0.0598326404619693	157.633319978362	157.633319978362	0	0	TRUE	0.057258799342539	69.1821187476307	69.1821187476307	1.11022302462516e-16	5.13293111718364e-14
1040	chr1	20806469	21051994	-	EIF4G3	1	-8.54071806002035	0.270540583489494	0.918563713505815	1.20842052068912	0.689968831648838	0.0237292592551491	-0.0421868568204294	56.0089348561014	-56.0089348561014	7.21644966006352e-14	2.15420774311896e-12	TRUE	-0.0464068772127346	59.3177515542557	-59.3177515542557	1.34336985979644e-14	4.65813498884415e-12
1504	chr1	28368739	28500364	+	PHACTR4	1	-8.54035314230143	0.271560998118462	0.917121535633339	1.20746825800835	0.693172758557502	0.0234031228372563	0.0451089573430346	170.02025022421	170.02025022421	0	0	TRUE	0.0324188944829697	57.042652392578	57.042652392578	4.2632564145606e-14	1.18262732939911e-11
16092	chr3	47585268	47782893	-	SMARCC1	3	-8.54149142003238	0.27096884759441	0.918519905697345	1.20949368406932	0.692841336975997	0.0237135741845836	-0.033581656557672	31.4388328627756	-31.4388328627756	2.0582296644811e-08	4.17121956774198e-07	TRUE	-0.0396704233239168	35.3551019051447	-35.3551019051447	2.747479244114e-09	4.23417079065125e-07
29764	chr6	32288525	32372899	-	TSBP1	6	-8.54246243014436	0.271365633159542	0.918331095447228	1.20981702224473	0.691929902557499	0.0237193859135598	-0.00442064902477376	1.56810656996822	-1.56810656996822	0.210482198829289	0.285599003202641	TRUE	-0.0242067727096267	32.4215013959038	-32.4215013959038	1.24105680177067e-08	1.61799144679509e-06
29763	chr6	32261701	32407763	+	TSBP1-AS1	6	-8.54225941622786	0.27132018289537	0.918260811420579	1.20968401796711	0.691862229908647	0.0237253254429856	-0.00575247293616993	3.37065796797106	-3.37065796797106	0.0663672445974992	0.13973925781104	TRUE	-0.0204302655761575	32.253020123826	-32.253020123826	1.35346547303072e-08	1.61799144679509e-06
51045	chr11	72836744	73143046	-	FCHSD2	11	-8.54274203316915	0.271639973446682	0.918184971622811	1.21014336018665	0.692383425199273	0.0237527508443728	-0.00989447529927111	7.66627309058094	-7.66627309058094	0.00562625482924561	0.0312271279341798	TRUE	-0.0233400646435444	32.1875507396908	-32.1875507396908	1.3998484038602e-08	1.61799144679509e-06
5388	chr1	155335267	155563693	-	ASH1L	1	-8.54200771824598	0.271189472633292	0.91731138689693	1.20931669390751	0.691366276184643	0.0237523624377592	-0.0337262772482049	32.1399790949072	-32.1399790949072	1.434547081125e-08	2.96160233850947e-07	TRUE	-0.0366414894052537	31.0716718915282	-31.0716718915282	2.48674246750014e-08	2.32307720019614e-06
72077	chr17	29389599	29551904	+	TAOK1	17	-8.54141588655924	0.271360193530069	0.918952604688154	1.2096936423422	0.691643790721387	0.0236907672544739	-0.0538195461200405	35.1343816034641	-35.1343816034641	3.07719527636863e-09	6.7975243654983e-08	TRUE	-0.054141878632437	30.9900221229182	-30.9900221229182	2.59358338139393e-08	2.32307720019614e-06
