testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeMacr	typeNeut	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
21387	chr20	9068053	9480813	+	PLCB4	20	-5.12543996563696	-1.21785203575926	-0.219269677663697	1.84098862836289	-2.69620160622048	2.39229687602984	0.589374433202693	0.589374433202693	0.442661123512212	0.999212607740616	TRUE	10.313185687213	3.10712172288754	3.10712172288754	0.0779506013885357	0.99888041561542
2628	chr2	27381198	27410591	-	PPM1G	2	-5.13203096239764	-1.21340520682153	-0.216976458941197	1.84138936259433	-2.68469405870035	4.24802573140729	1.61359158676544	1.61359158676544	0.203987669703911	0.999212607740616	TRUE	10.3123367449058	3.10673232735587	3.10673232735587	0.0779692426317643	0.99888041561542
18332	chr17	7856685	7886209	-	NAA38	17	-5.12466291195832	-1.21795852710929	-0.219299913642949	1.84463627129736	-2.69595297930623	-0.502101406776219	0.611243901460171	-0.611243901460171	0.434319843332947	0.999212607740616	TRUE	-0.581768803326342	0.740838012899985	-0.740838012899985	0.38939256489208	0.99888041561542
14124	chr12	14364631	14502935	+	ATF7IP	12	-5.12420543226267	-1.21795568646191	-0.219691088588224	1.84454100423715	-2.69779426067874	-0.970854553675228	0.618598597044525	-0.618598597044525	0.431568533207225	0.999212607740616	TRUE	-1.29508870782753	0.65176902417079	-0.65176902417079	0.419480916465485	0.99888041561542
13416	chr11	74170288	74254703	+	PPME1	11	-5.12574282352477	-1.21697553764166	-0.218983096694662	1.84422341080228	-2.69556529091095	-0.732149656866132	0.300138462206292	-0.300138462206292	0.583795630432604	0.999212607740616	TRUE	-1.41063605966079	0.628450772257907	-0.628450772257907	0.427924150828325	0.99888041561542
19341	chr17	79932342	80036872	-	TBC1D16	17	-5.12483429440787	-1.21766149435317	-0.21978051915681	1.84456470333438	-2.69645558053274	-0.992632928603175	0.578934902900983	-0.578934902900983	0.446730108059345	0.999212607740616	TRUE	-1.41063348368469	0.628448183475484	-0.628448183475484	0.427925102318618	0.99888041561542
18990	chr17	49598885	49679163	-	SPOP	17	-5.12508753428615	-1.21705848506191	-0.219345630265988	1.8455661522551	-2.69694208294318	-1.17491555817673	0.540405994822891	-0.540405994822891	0.462264517737699	0.999212607740616	TRUE	-1.41063197061092	0.628446662488045	-0.628446662488045	0.427925661349236	0.99888041561542
13200	chr11	64852726	64880713	-	EHD1	11	-5.12427550042575	-1.21767212539377	-0.219240164398515	1.84591569335116	-2.69864823229886	-1.29520537115169	0.651881815713182	-0.651881815713182	0.419440683794661	0.999212607740616	TRUE	-1.41062396329024	0.628438614651486	-0.628438614651486	0.427928619305899	0.99888041561542
7906	chr6	33250271	33272876	-	VPS52	6	-5.12359530899015	-1.21824186874321	-0.219605691066346	1.84452762919582	-2.69909002464341	-0.953710083380605	0.658882357564721	-0.658882357564721	0.416954790552984	0.999212607740616	TRUE	-0.970768851983514	0.618471459294597	-0.618471459294597	0.431615868957314	0.99888041561542
7877	chr6	32288525	32372899	-	TSBP1	6	-5.12432314259215	-1.21783171186342	-0.220215174233892	1.84144138300714	-2.69599520906194	-0.301836988650347	0.29043663194966	-0.29043663194966	0.589940862066934	0.999212607740616	TRUE	-0.470859583715257	0.613065323890737	-0.613065323890737	0.433635990449849	0.99888041561542
7876	chr6	32261701	32407763	+	TSBP1-AS1	6	-5.12434686604604	-1.21768919649957	-0.220188535887474	1.84143874279475	-2.69602393932961	-0.29184243633763	0.282413761756629	-0.282413761756629	0.59512349861549	0.999212607740616	TRUE	-0.452038900535966	0.591724405209789	-0.591724405209789	0.441753075569302	0.99888041561542
19255	chr17	75626853	75668154	-	RECQL5	17	-5.12508653463718	-1.21688551286869	-0.219345845709503	1.84512371193082	-2.69694418326668	-1.01439888695323	0.476818659811102	-0.476818659811102	0.489866877765445	0.999212607740616	TRUE	-1.17492040683758	0.54041019168676	-0.54041019168676	0.462262779433018	0.99888041561542
21325	chr20	2863183	3038674	+	PTPRA	20	-5.12448011053143	-1.2174670443845	-0.219562714799343	1.84444524115748	-2.69798754437176	-0.81734392579225	0.312349173891334	-0.312349173891334	0.576242203418536	0.999212607740616	TRUE	-1.17491473836327	0.540405150286233	-0.540405150286233	0.462264867538728	0.99888041561542
19304	chr17	77280498	77500593	+	SEPTIN9	17	-5.12470529893547	-1.21735277671325	-0.219297611316679	1.84365062399918	-2.69774518646592	-0.550917495990323	0.163710324923727	-0.163710324923727	0.685763232120589	0.999212607740616	TRUE	-1.17490768313679	0.540397881590025	-0.540397881590025	0.462267878197992	0.99888041561542
8340	chr6	108986436	109095819	-	SESN1	6	-5.12521946792139	-1.21707633151007	-0.219096661598748	1.83951429221721	-2.69725553785146	0.409430721887063	0.154625484136773	0.154625484136773	0.694153697679322	0.999212607740616	TRUE	0.92116734948181	0.364784824281855	0.364784824281855	0.54586080083553	0.99888041561542
2811	chr2	58427337	59063766	+	LINC01122	2	-5.12505972788864	-1.21748258621187	-0.219267797177983	1.84364807506473	-2.69626947917469	-0.659373877330659	0.389096993314524	-0.389096993314524	0.532774442617487	0.999212607740616	TRUE	-0.647970016360398	0.348449991583379	-0.348449991583379	0.554991866350882	0.99888041561542
19402	chr17	82101469	82213813	-	CCDC57	17	-5.1247821729307	-1.21729052217698	-0.218882946215022	1.8441140093722	-2.69758366817338	-0.685064887899539	0.356593793884827	-0.356593793884827	0.550404067897517	0.999212607740616	TRUE	-0.674067136006509	0.315573361877227	-0.315573361877227	0.574280116063697	0.99888041561542
13267	chr11	66069271	66244744	+	PACS1	11	-5.12476259768221	-1.21716138884709	-0.219408862096433	1.84279234795451	-2.69703299671128	-0.400952092581699	0.208689257212313	-0.208689257212313	0.647796696099523	0.999212607740616	TRUE	-0.497282227987216	0.304112909979381	-0.304112909979381	0.581315410636992	0.99888041561542
9200	chr7	92604920	92837573	-	CDK6	7	-5.12568794954166	-1.21686516708236	-0.219013189458761	1.84398606102614	-2.69568058278123	-0.660514479482945	0.274511031921634	-0.274511031921634	0.600321660793882	0.999212607740616	TRUE	-0.73214965686611	0.300138462110226	-0.300138462110226	0.58379563049281	0.99888041561542
14457	chr12	54261614	54279063	+	SCAT2	12	-5.12424350707123	-1.21803823789809	-0.219837608242064	1.84131397744611	-2.69871545362221	0.715544400316298	0.216648567625725	0.216648567625725	0.641605493299931	0.999212607740616	TRUE	0.843545024755072	0.260660562877888	0.260660562877888	0.60966670210213	0.99888041561542
4361	chr3	47016688	47164967	-	SETD2	3	-5.12492355546055	-1.21742180158867	-0.219603976929876	1.84144425275325	-2.69652887813896	-0.0995066924932263	0.0291918756527139	-0.0291918756527139	0.864336757933682	0.999212607740616	TRUE	-0.335426184496345	0.259374313965509	-0.259374313965509	0.610550335610462	0.99888041561542
18887	chr17	44395280	44504406	-	GPATCH8	17	-5.12573660552916	-1.21700671379741	-0.218941369700269	1.84257437653375	-2.69517878981438	-0.333404293944186	0.159542218318848	-0.159542218318848	0.689578335275628	0.999212607740616	TRUE	-0.448877381046721	0.241654322403974	-0.241654322403974	0.623013820965431	0.99888041561542
18920	chr17	46029915	46226389	-	KANSL1	17	-5.12434124009809	-1.21758664582408	-0.219492628569089	1.84113252309444	-2.69798604684695	-0.212285568103871	0.0505226065769193	-0.0505226065769193	0.82215638195148	0.999212607740616	TRUE	-0.477347383779055	0.225984553533181	-0.225984553533181	0.634517339552269	0.99888041561542
19307	chr17	77958239	78106037	+	TNRC6C	17	-5.12450016878119	-1.21765614685157	-0.219864409458138	1.84029808787228	-2.69599715130658	-0.300499226593979	0.246280158340824	-0.246280158340824	0.619706597875806	0.999212607740616	TRUE	-0.287524081289243	0.220345747982492	-0.220345747982492	0.638776601963833	0.99888041561542
11379	chr9	136006536	136096289	-	NACC2	9	-5.12934233393695	-1.21486004925251	-0.21782168341322	1.84195974556996	-2.68962920281909	2.01372907237471	0.428062354934582	0.428062354934582	0.512941255956769	0.999212607740616	TRUE	2.02780310607476	0.217282600139129	0.217282600139129	0.641118287076874	0.99888041561542
18515	chr17	28041676	28196381	+	NLK	17	-5.12487281326043	-1.21734102341692	-0.219557543572363	1.84146298674073	-2.69758338886791	0.567624798311551	0.0976766866347134	0.0976766866347134	0.754635718076745	0.999212607740616	TRUE	2.01222732077765	0.214214924377984	0.214214924377984	0.643483658234284	0.99888041561542
22421	chr22	24269816	24417739	+	SPECC1L	22	-5.12487281326032	-1.21734102341692	-0.219557543572367	1.84146298674073	-2.69758338886788	0.567624798311551	0.0976766869823678	0.0976766869823678	0.754635717654123	0.999212607740616	TRUE	2.01222732077765	0.214214924342059	0.214214924342059	0.643483658262104	0.99888041561542
1425	chr1	151611028	151699091	+	SNX27	1	-5.1248728132603	-1.21734102341691	-0.219557543572367	1.84146298674073	-2.6975833888679	0.567624798311543	0.0976766870303436	0.0976766870303436	0.754635717595802	0.999212607740616	TRUE	2.01222732077763	0.214214924208136	0.214214924208136	0.643483658365815	0.99888041561542
12113	chr10	99658508	99711241	+	ENTPD7	10	-5.1248728132603	-1.21734102341691	-0.219557543572365	1.84146298674074	-2.6975833888679	0.567624798311545	0.0976766870278425	0.0976766870278425	0.754635717598842	0.999212607740616	TRUE	2.01222732077763	0.214214923415966	0.214214923415966	0.643483658979277	0.99888041561542
18007	chr16	78098653	79212667	+	WWOX	16	-5.12522117763311	-1.21720935299257	-0.21929617181786	1.84052606048189	-2.69671661307415	0.173577209918686	0.0168369246448492	0.0168369246448492	0.896758545229515	0.999212607740616	TRUE	2.00889878741435	0.213560960214863	0.213560960214863	0.64399056237037	0.99888041561542
22791	chr22	50673891	50733298	+	SHANK3	22	-5.12585719303041	-1.21706053577095	-0.21906880931864	1.84146782100746	-2.69562216048593	0.855401127854309	0.0850074283915774	0.0850074283915774	0.770622807099958	0.999212607740616	TRUE	2.0088568306505	0.213552716274762	0.213552716274762	0.643996958464905	0.99888041561542
13424	chr11	74747848	74842413	+	RNF169	11	-5.12585719303051	-1.21706053577095	-0.219068809318651	1.84146782100747	-2.69562216048591	0.85540112785429	0.0850074287379812	0.0850074287379812	0.770622806645697	0.999212607740616	TRUE	2.00885683065044	0.213552716038748	0.213552716038748	0.64399695864802	0.99888041561542
11885	chr10	72691130	72887694	+	MCU	10	-5.12585719303041	-1.21706053577095	-0.219068809318638	1.84146782100747	-2.6956221604859	0.855401127854308	0.0850074284081757	0.0850074284081757	0.770622807078192	0.999212607740616	TRUE	2.00885683065044	0.213552715886294	0.213552715886294	0.643996958766303	0.99888041561542
10585	chr9	213864	465259	+	DOCK8	9	-5.12585719303038	-1.21706053577095	-0.219068809318642	1.84146782100747	-2.69562216048591	0.855401127854289	0.0850074284668381	0.0850074284668381	0.770622807001264	0.999212607740616	TRUE	2.00885683065047	0.21355271587754	0.21355271587754	0.643996958773095	0.99888041561542
8302	chr6	99542386	99569660	-	CCNC	6	-5.12496823587085	-1.21738185554986	-0.219428977745098	1.84128619689958	-2.69703836989388	-0.0978457300320792	0.00327493226757269	-0.00327493226757269	0.95436435144915	0.999212607740616	TRUE	2.00463712879412	0.212724510766975	0.212724510766975	0.644640290069512	0.99888041561542
727	chr1	45627303	45687536	-	GPBP1L1	1	-5.12496823587087	-1.21738185554984	-0.21942897774509	1.84128619689958	-2.69703836989385	-0.0978457300320821	0.0032749322623431	-0.0032749322623431	0.954364351485547	0.999212607740616	TRUE	2.00463712879411	0.212724510665453	0.212724510665453	0.644640290148465	0.99888041561542
11390	chr9	136409657	136423761	+	PMPCA	9	-5.12496823587085	-1.21738185554986	-0.219428977745099	1.84128619689958	-2.69703836989388	-0.0978457300320792	0.00327493225427133	-0.00327493225427133	0.954364351541725	0.999212607740616	TRUE	2.0046371287941	0.212724510614521	0.212724510614521	0.644640290188075	0.99888041561542
14907	chr12	112417946	112509918	+	PTPN11	12	-5.12496823587086	-1.21738185554985	-0.219428977745094	1.84128619689958	-2.69703836989387	-0.0978457300320867	0.00327493227825926	-0.00327493227825926	0.954364351374774	0.999212607740616	TRUE	2.00463712879409	0.212724510545286	0.212724510545286	0.644640290241919	0.99888041561542
3936	chr2	233475525	233567782	-	USP40	2	-5.12496823587085	-1.21738185554986	-0.219428977745099	1.84128619689958	-2.69703836989388	-0.0978457300320792	0.00327493224745012	-0.00327493224745012	0.954364351589199	0.999212607740616	TRUE	2.0046371287941	0.21272451037953	0.21272451037953	0.644640290370826	0.99888041561542
9987	chr8	30383510	30572256	+	RBPMS	8	-5.12496823587085	-1.21738185554986	-0.219428977745097	1.84128619689958	-2.69703836989388	-0.0978457300320792	0.00327493227416653	-0.00327493227416653	0.954364351403258	0.999212607740616	TRUE	2.00463712879409	0.212724510223097	0.212724510223097	0.644640290492483	0.99888041561542
4161	chr3	17157161	17741907	-	TBC1D5	3	-5.12496823587085	-1.21738185554986	-0.219428977745099	1.84128619689958	-2.69703836989388	-0.0978457300320792	0.00327493224745012	-0.00327493224745012	0.954364351589199	0.999212607740616	TRUE	2.00463712879409	0.21272451020775	0.21272451020775	0.644640290504418	0.99888041561542
19882	chr19	2511218	2703694	-	GNG7	19	-5.12646622341957	-1.21610488091791	-0.218261076533212	1.84234264034028	-2.69615431822711	1.02744016855229	0.517661717640067	0.517661717640067	0.471840834597692	0.999212607740616	TRUE	2.00425708358525	0.212649903991405	0.212649903991405	0.644698317483117	0.99888041561542
5076	chr3	151085888	151437072	+	MED12L	3	-5.12567470931597	-1.21697789455501	-0.219271695609708	1.84138830478231	-2.695828320093	0.367291137352346	0.0162681362182866	0.0162681362182866	0.898507789614132	0.999212607740616	TRUE	2.00227250109049	0.212260926557292	0.212260926557292	0.645001055189109	0.99888041561542
14456	chr12	54230941	54281122	-	CBX5	12	-5.12216903851352	-1.21931419402086	-0.221293347612274	1.84158420428879	-2.70361606732603	1.44248099588405	1.9162626408272	1.9162626408272	0.16626925062156	0.999212607740616	TRUE	0.554200377782369	0.204159926676994	0.204159926676994	0.651383819849105	0.99888041561542
4507	chr3	52547840	52686836	-	PBRM1	3	-5.12469726774454	-1.21776342775798	-0.220004214426614	1.84060821956014	-2.69622346336464	-0.438858856773363	0.168589264304046	-0.168589264304046	0.681368628372829	0.999212607740616	TRUE	-0.470646643201829	0.179075088887316	-0.179075088887316	0.672169302273544	0.99888041561542
11259	chr9	128455005	128501292	+	ODF2	9	-5.12431053043998	-1.21808464365264	-0.22003574513838	1.8405384243966	-2.69685803920641	-0.4964113037769	0.214808104282952	-0.214808104282952	0.643024681440045	0.999212607740616	TRUE	-0.507607363913676	0.155351769076219	-0.155351769076219	0.693472595659849	0.99888041561542
138	chr1	8352403	8818640	-	RERE	1	-5.12480611257767	-1.21735135823232	-0.219428078839087	1.84104647430619	-2.69688300195664	-0.266982455172388	0.0826510212043559	-0.0826510212043559	0.773736463917033	0.999212607740616	TRUE	-0.40059302605956	0.149069337565834	-0.149069337565834	0.699426323715292	0.99888041561542
18812	chr17	42313323	42389568	-	STAT3	17	-5.12435476529316	-1.21794119934309	-0.219997297131939	1.840584339715	-2.69686140380377	-0.465069534475266	0.202993702558501	-0.202993702558501	0.652315189957832	0.999212607740616	TRUE	-0.462652816378405	0.143322115022897	-0.143322115022897	0.705000464246302	0.99888041561542
4437	chr3	49939006	50077249	+	RBM6	3	-5.12488356219764	-1.21746595630405	-0.219288416007017	1.84120266781553	-2.69704066156999	-0.271222368207819	0.0463805307673511	-0.0463805307673511	0.829485565555062	0.999212607740616	TRUE	-0.581777466568413	0.134756363210613	-0.134756363210613	0.71355057046663	0.99888041561542
12181	chr10	103088017	103194306	-	NT5C2	10	-5.12574548510633	-1.21688918511815	-0.219425259070066	1.84149490878397	-2.69590005467913	0.511805266009879	0.110338397486771	0.110338397486771	0.739759203553219	0.999212607740616	TRUE	0.846478818184883	0.124430022684578	0.124430022684578	0.724278570388832	0.99888041561542
