testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeMacr	typeNeut	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
14609	chr12	65823130	65966295	+	HMGA2	12	-7.19529167056167	-0.453194854512431	-0.570568974704083	0.432194385145768	1.07360542047536	-0.285565438021474	0.875700356356242	494.496219666024	494.496219666024	0	0	TRUE	0.652015684489816	210.921246150967	210.921246150967	0	0
3641	chr2	196137446	196177503	-	STK17B	2	-7.20477701631381	-0.449102490018237	-0.565160787350617	0.440076730886465	1.06407727015794	-0.269514568490064	0.13937956747873	0.0473036907187634	0.0473036907187634	0.827823291608688	0.999955578835332	TRUE	13.2714005172915	4.65702541631799	4.65702541631799	0.0309267254612693	0.999847891709536
15042	chr12	123632738	123662603	+	GTF2H3	12	-7.20480422724131	-0.449079501323356	-0.565139061543808	0.440099630575408	1.06409024867309	-0.269510446787436	0.102698987586037	0.0631290922101471	0.0631290922101471	0.801616937714043	0.999955578835332	TRUE	1.79188616296095	3.96496374275921	3.96496374275921	0.0464565224004559	0.999847891709536
8548	chr6	147157924	147180992	+	LUADT1	6	-7.20478333046674	-0.449096503887789	-0.565186884508339	0.440082565215101	1.0641750451894	-0.269514109760854	0.654062248377661	0.301534782734962	0.301534782734962	0.582921845897268	0.999955578835332	TRUE	9.12434690943647	3.88730313857377	3.88730313857377	0.0486524891085742	0.999847891709536
17919	chr16	69186128	69309052	+	SNTB2	16	-7.20484316224805	-0.449020932087743	-0.565081986897501	0.440171391481204	1.06427350086024	-0.269541829617563	0.388305149034678	0.580823123331356	0.580823123331356	0.445989863625458	0.999955578835332	TRUE	1.83088164314034	3.74589318227481	3.74589318227481	0.0529374274245246	0.999847891709536
18907	chr17	45159699	45170040	+	HEXIM2	17	-7.20471117147523	-0.449195630134542	-0.565203502799597	0.44006747811654	1.0641760829619	-0.269568672831045	0.757276576741772	1.17666621822355	1.17666621822355	0.27803573371959	0.999955578835332	TRUE	1.84477167416288	3.65591365371984	3.65591365371984	0.0558705038550228	0.999847891709536
14536	chr12	56751160	56787736	+	HSD17B6	12	-7.20469972543163	-0.449111371435231	-0.565246611692906	0.440099508372155	1.06421817134151	-0.269610238275268	1.94058237860801	4.90536928706388	4.90536928706388	0.0267733263397154	0.999955578835332	TRUE	1.84476034812116	3.65588181864587	3.65588181864587	0.0558715715588587	0.999847891709536
11102	chr9	112379079	112472405	+	HSDL2	9	-7.20477764541013	-0.449102230556902	-0.565160839919435	0.440055826810954	1.06417220709865	-0.269514051565793	0.0672351420986411	0.0152055889720941	0.0152055889720941	0.901860874716469	0.999955578835332	TRUE	1.84475396113241	3.65586386472023	3.65586386472023	0.055872173717948	0.999847891709536
13049	chr11	59852807	59867487	-	TCN1	11	-7.20474426576548	-0.449115997525186	-0.565273412649203	0.44007212868812	1.06417415332558	-0.269541479410957	1.27801881478445	1.8163632616961	1.8163632616961	0.177746778186175	0.999955578835332	TRUE	1.84473643240337	3.65581459567693	3.65581459567693	0.0558738261942822	0.999847891709536
3236	chr2	112054268	112119314	+	TMEM87B	2	-7.20471328387736	-0.44919075825951	-0.565203840373383	0.440067774963713	1.06417595979215	-0.269566937078918	0.414519021196688	0.590975945529863	0.590975945529863	0.442041974599671	0.999955578835332	TRUE	1.78748256233159	3.46710208551485	3.46710208551485	0.0626008917090274	0.999847891709536
12146	chr10	101353032	101557319	+	BTRC	10	-7.20480330418129	-0.449106275843609	-0.565235868785963	0.44009454825895	1.06418810164001	-0.269506470388913	1.70594974673962	3.18283029313898	3.18283029313898	0.0744157279896456	0.999955578835332	TRUE	1.76131826993883	3.45364355422134	3.45364355422134	0.0631124997671525	0.999847891709536
17481	chr16	18791668	18802549	-	ARL6IP1	16	-7.20476705870989	-0.449106596882855	-0.56527127208787	0.440075331623513	1.06417282435955	-0.269522750585586	1.22011689448925	1.64629414547017	1.64629414547017	0.199464069124697	0.999955578835332	TRUE	1.78992223754273	3.36503459985397	3.36503459985397	0.0665941851912868	0.999847891709536
17969	chr16	72282207	72665947	-	LINC01572	16	-7.20493071969434	-0.449011672913114	-0.565057207444156	0.439997028479523	1.06421267945772	-0.269426624856075	1.36300994336349	1.67168604257313	1.67168604257313	0.196032855088776	0.999955578835332	TRUE	3.18086742450831	3.17258511903492	3.17258511903492	0.0748838325683991	0.999847891709536
5490	chr4	4289250	4321783	+	ZBTB49	4	-7.20498590687848	-0.448987671463986	-0.565043109617798	0.440038809952768	1.06421169727581	-0.269383013728883	1.20146508707134	0.832772685918826	0.832772685918826	0.36147200138861	0.999955578835332	TRUE	3.46989206886691	3.07227061621052	3.07227061621052	0.0796381664747922	0.999847891709536
