testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeMacr	typeNeut	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
14609	chr12	65823130	65966295	+	HMGA2	12	-10.5595035853884	0.712516507927251	0.553061207057762	0.845033839953257	1.18297865760606	0.361947941609463	1.06364233544904	187619.81260112	187619.81260112	0	0	TRUE	0.897932916816175	94212.2449131086	94212.2449131086	0	0
14610	chr12	65855946	65883041	-	HMGA2-AS1	12	-10.625594017644	0.751829074948103	0.586060071598357	0.863742192465207	1.17247471933743	0.414547939278427	0.530763477441217	4894.67371222004	4894.67371222004	0	0	TRUE	0.499033272004058	3764.81586734671	3764.81586734671	0	0
13300	chr11	67118262	67258082	+	KDM2A	11	-10.628652903998	0.754435675207593	0.588339536394129	0.864740969947953	1.17075427954532	0.418676734573817	-0.476238284348776	2443.40577883273	-2443.40577883273	0	0	TRUE	-0.480341338197104	2468.64293595217	-2468.64293595217	0	0
19307	chr17	77958239	78106037	+	TNRC6C	17	-10.629441181006	0.754852451545852	0.588673097389362	0.864940828070308	1.17112786262143	0.418527666008974	-0.428336163707841	1598.44056613091	-1598.44056613091	0	0	TRUE	-0.515971519781334	2062.35320946109	-2062.35320946109	0	0
1560	chr1	155335267	155563803	-	ASH1L	1	-10.6252220702778	0.75193136294173	0.586064502562353	0.866091370422297	1.1751418857914	0.412014099065668	0.552297937309125	10844.6233538892	10844.6233538892	0	0	TRUE	-0.542090385717853	1895.90995365754	-1895.90995365754	0	0
13267	chr11	66069271	66244744	+	PACS1	11	-10.6293391669952	0.754481621262039	0.588445010001231	0.865404811551625	1.17185841089303	0.418530217223348	-0.226432360492848	944.308360151015	-944.308360151015	0	0	TRUE	-0.345325232646799	1859.51714194007	-1859.51714194007	0	0
7876	chr6	32261701	32407763	+	TSBP1-AS1	6	-10.6293881090235	0.754748361080121	0.588536323857176	0.865188093419847	1.17174765611529	0.418418288800049	-0.487299321429563	1656.38355577923	-1656.38355577923	0	0	TRUE	-0.495111620700385	1678.00667028781	-1678.00667028781	0	0
13401	chr11	72836744	73143318	-	FCHSD2	11	-10.6294256107714	0.75470529924757	0.588563876167201	0.865243515407788	1.17174772700376	0.418120131652237	-0.285169112527229	709.98732765764	-709.98732765764	0	0	TRUE	-0.498749610437101	1629.92246002425	-1629.92246002425	0	0
7877	chr6	32288525	32372899	-	TSBP1	6	-10.6294133171783	0.754757573599961	0.588552815984271	0.865230131630941	1.17191934254451	0.418268131218307	-0.49519098932094	1423.57992319018	-1423.57992319018	0	0	TRUE	-0.501556465451234	1424.12759157456	-1424.12759157456	0	0
19352	chr17	80543837	80966368	+	RPTOR	17	-10.6294452236512	0.754690707863862	0.588729681555633	0.865336845793804	1.17275540871362	0.418137280141548	-0.500481553412943	1295.65571184456	-1295.65571184456	0	0	TRUE	-0.50038755812221	1261.36023935303	-1261.36023935303	0	0
19249	chr17	75318075	75406709	-	GRB2	17	-10.6295228442717	0.754876043316344	0.588741220885211	0.865344612963596	1.17235002342182	0.418146426278527	-0.506018884753882	1266.73341555614	-1266.73341555614	0	0	TRUE	-0.50390236137366	1229.79879484512	-1229.79879484512	0	0
