testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	typeMacr	typeNeut	typeNK	typeT	time	interaction	testStat	signedTestStat	pvalue	adjpvalue	robustAnalysis	robustInteraction	robustTestStat	robustSignedTestStat	robustPvalue	robustAdjPvalue
11586	chr10	17315420	17455595	-	ST8SIA6	10	-6.04406959646773	-1.62795620518574	-1.79753996953661	-0.231046757815217	1.98504619509467	-0.594515906589802	3.54847121879137	1.77232168335877	1.77232168335877	0.183095013249078	0.999848340588861	TRUE	3.5712693008344	1.20852797203634	1.20852797203634	0.271623849328448	0.998807002106002
11925	chr10	75430623	76560168	+	LRMDA	10	-6.0440041792611	-1.6280265482494	-1.7972945144612	-0.231020988853096	1.98391818560443	-0.594793093664515	3.0096795874774	0.705116581299535	0.705116581299535	0.401069771097968	0.999848340588861	TRUE	7.97885773592302	1.15409594368975	1.15409594368975	0.282693363767423	0.998807002106002
22632	chr22	39398783	39436823	+	TAB1	22	-6.04398583151753	-1.62792587747446	-1.79728715184455	-0.231137471066452	1.98471624613133	-0.594870837715533	1.21990664111725	0.0769403286849411	0.0769403286849411	0.781487417691808	0.999848340588861	TRUE	7.97799404350826	1.15388784726838	1.15388784726838	0.282736763508944	0.998807002106002
21917	chr20	63894125	63936011	+	DNAJC5	20	-6.0439345396311	-1.62793948808985	-1.79726656961052	-0.230993557332962	1.98498739449242	-0.595088175934631	0.40545015768624	0.054740877702443	0.054740877702443	0.815010065938935	0.999848340588861	TRUE	5.28906749313927	1.14490975480521	1.14490975480521	0.284617256930757	0.998807002106002
2239	chr1	226989864	227319474	-	CDC42BPA	1	-6.04433103797003	-1.62768660501177	-1.79718396929691	-0.230751553210089	1.98556402917504	-0.595049367209893	0.659781025549795	1.10385153805328	1.10385153805328	0.293422403810871	0.999848340588861	TRUE	0.620448309678227	0.952037966194439	0.952037966194439	0.329201092525204	0.998807002106002
557	chr1	35031171	35115624	+	ZMYM1	1	-6.04382695136896	-1.62804780670307	-1.79722339825148	-0.231560079773289	1.98529770350473	-0.595544064821893	1.18566219987375	1.54590995568105	1.54590995568105	0.213740259326788	0.999848340588861	TRUE	0.849979958257245	0.684203752286521	0.684203752286521	0.408142924744961	0.998807002106002
18332	chr17	7856685	7886209	-	NAA38	17	-6.0439544952815	-1.62793872062005	-1.79734611192676	-0.230680963263428	1.98485448975767	-0.594356521518796	-0.246455524308846	0.41046297651701	-0.41046297651701	0.521734610275606	0.999848340588861	TRUE	-0.32740349090593	0.680106037148562	-0.680106037148562	0.409550213006731	0.998807002106002
4053	chr3	6860114	7741533	+	GRM7	3	-6.0440147539838	-1.627936348919	-1.79738367721788	-0.231025154373567	1.98411987847509	-0.594748286003898	1.70399849805445	0.373016648961766	0.373016648961766	0.541364510296214	0.999848340588861	TRUE	2.41287890947907	0.597715715954564	0.597715715954564	0.439450913560878	0.998807002106002
9362	chr7	104126340	104209013	-	ORC5	7	-6.04444979483601	-1.62728359164519	-1.79666833816782	-0.230367304230288	1.98586361122785	-0.595425601168878	1.14013836142914	0.608989658734117	0.608989658734117	0.435168475258998	0.999848340588861	TRUE	1.18569165686921	0.580446956698324	0.580446956698324	0.446137181494042	0.998807002106002
15757	chr14	21459019	21477959	-	RAB2B	14	-6.04407097296218	-1.62775545156456	-1.79711426942948	-0.230841340619334	1.98353705693522	-0.595136155728418	0.348915085111248	0.084981976439849	0.084981976439849	0.770656186525947	0.999848340588861	TRUE	1.18560328765067	0.580368120663479	0.580368120663479	0.446168065556423	0.998807002106002
